Modul;Kennung;Titel;Ver;Gew;LP;Sem
M-WIWI-100950;T-WIWI-102708;Volkswirtschaftslehre I: Mikroökonomie;1;0;5,0;0
M-WIWI-100950;T-WIWI-102737;Statistik I;1;0;5,0;0
M-WIWI-101601;T-WIWI-103067;Bachelorarbeit;1;1;12,0;0
M-WIWI-101419;T-WIWI-102611;Berufspraktikum;2;1;10,0;0
M-WIWI-101494;T-WIWI-102817;Betriebswirtschaftslehre: Unternehmensführung und Informationswirtschaft;1;1;3,0;0
M-WIWI-101494;T-WIWI-102819;Betriebswirtschaftslehre: Finanzwirtschaft und Rechnungswesen;1;1;4,0;0
M-WIWI-101578;T-WIWI-102818;Betriebswirtschaftslehre: Produktionswirtschaft und Marketing;1;1;4,0;0
M-WIWI-101578;T-WIWI-102816;Rechnungswesen;1;1;4,0;0
M-WIWI-101467;T-WIWI-102742;Bauökologie I;1;1;4,5;0
M-WIWI-101467;T-WIWI-102743;Bauökologie II;1;1;4,5;0
M-WIWI-101498;T-WIWI-102800;Management Accounting 1;2;1;4,5;0
M-WIWI-101498;T-WIWI-102801;Management Accounting 2;2;1;4,5;0
M-WIWI-101434;T-WIWI-109938;Digital Services;4;1;4,5;0
M-WIWI-101434;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101434;T-WIWI-109816;Foundations of Interactive Systems;2;1;4,5;0
M-WIWI-101434;T-WIWI-109936;Platform Economy;3;1;4,5;0
M-WIWI-101434;T-WIWI-109940;Spezialveranstaltung Wirtschaftsinformatik;2;1;4,5;0
M-WIWI-101402;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101402;T-WIWI-102643;Derivate;1;1;4,5;0
M-WIWI-101402;T-WIWI-102646;Internationale Finanzierung;1;1;3,0;0
M-WIWI-101464;T-WIWI-102746;Einführung in die Energiewirtschaft;4;1;5,5;0
M-WIWI-101464;T-WIWI-102607;Energiepolitik;3;1;3,5;0
M-WIWI-101464;T-WIWI-100806;Renewable Energy-Resources, Technologies and Economics;4;1;3,5;0
M-WIWI-101435;T-WIWI-102605;Financial Management;1;1;4,5;0
M-WIWI-101435;T-WIWI-102604;Investments;1;1;4,5;0
M-WIWI-102752;T-WIWI-109938;Digital Services;4;1;4,5;0
M-WIWI-102752;T-WIWI-109816;Foundations of Interactive Systems;2;1;4,5;0
M-WIWI-102752;T-WIWI-110888;Practical Seminar: Digital Services;1;1;4,5;0
M-WIWI-101424;T-WIWI-102805;Marketing Mix;2;1;4,5;0
M-WIWI-101424;T-WIWI-102806;Dienstleistungs- und B2B Marketing;1;1;3,0;0
M-WIWI-101424;T-WIWI-102807;International Marketing;1;1;1,5;0
M-WIWI-101437;T-WIWI-102606;Grundlagen der Produktionswirtschaft;1;1;5,5;0
M-WIWI-101437;T-WIWI-102870;Logistics and Supply Chain Management;1;1;3,5;0
M-WIWI-101437;T-WIWI-102820;Produktion und Nachhaltigkeit;1;1;3,5;0
M-WIWI-104911;T-WIWI-109816;Foundations of Interactive Systems;2;1;4,5;0
M-WIWI-104911;T-WIWI-109936;Platform Economy;3;1;4,5;0
M-WIWI-104911;T-WIWI-109935;Practical Seminar Interaction;2;1;4,5;0
M-WIWI-104911;T-WIWI-106569;Consumer Behavior;2;1;4,5;0
M-WIWI-104912;T-WIWI-109938;Digital Services;4;1;4,5;0
M-WIWI-104912;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-104912;T-WIWI-109936;Platform Economy;3;1;4,5;0
M-WIWI-104912;T-WIWI-109937;Practical Seminar Platforms;2;1;4,5;0
M-WIWI-104913;T-WIWI-109938;Digital Services;4;1;4,5;0
M-WIWI-104913;T-WIWI-109816;Foundations of Interactive Systems;2;1;4,5;0
M-WIWI-104913;T-WIWI-109939;Practical Seminar Servitization;1;1;4,5;0
M-WIWI-101513;T-WIWI-102909;Personalmanagement;1;1;4,5;0
M-WIWI-101513;T-WIWI-102630;Organisationsmanagement;3;1;3,5;0
M-WIWI-101513;T-WIWI-102908;Personalpolitik und Arbeitsmarktinstitutionen;1;1;4,5;0
M-WIWI-101513;T-WIWI-102871;Problemlösung, Kommunikation und Leadership;1;1;2,0;0
M-WIWI-101466;T-WIWI-102744;Real Estate Management I;1;1;4,5;0
M-WIWI-101466;T-WIWI-102745;Real Estate Management II;1;1;4,5;0
M-WIWI-101425;T-WIWI-102630;Organisationsmanagement;3;1;3,5;0
M-WIWI-101425;T-WIWI-102871;Problemlösung, Kommunikation und Leadership;1;1;2,0;0
M-WIWI-101425;T-WIWI-102629;Unternehmensführung und Strategisches Management;1;1;3,5;0
M-WIWI-101465;T-WIWI-102643;Derivate;1;1;4,5;0
M-WIWI-101465;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101465;T-WIWI-107505;Financial Accounting for Global Firms;1;1;4,5;0
M-WIWI-101465;T-WIWI-102623;Finanzintermediation;1;1;4,5;0
M-WIWI-101465;T-WIWI-102626;Geschäftspolitik der Kreditinstitute;1;1;3,0;0
M-WIWI-101465;T-WIWI-108711;Grundlagen der Unternehmensbesteuerung;2;1;4,5;0
M-WIWI-101465;T-WIWI-102646;Internationale Finanzierung;1;1;3,0;0
M-WIWI-101465;T-WIWI-110511;Strategic Finance and Technoloy Change;1;1;1,5;0
M-WIWI-101423;T-WIWI-102643;Derivate;1;1;4,5;0
M-WIWI-101423;T-WIWI-110797;eFinance: Informationssysteme für den Wertpapierhandel;1;1;4,5;0
M-WIWI-101423;T-WIWI-102623;Finanzintermediation;1;1;4,5;0
M-WIWI-101423;T-WIWI-107505;Financial Accounting for Global Firms;1;1;4,5;0
M-WIWI-101423;T-WIWI-102626;Geschäftspolitik der Kreditinstitute;1;1;3,0;0
M-WIWI-101423;T-WIWI-108711;Grundlagen der Unternehmensbesteuerung;2;1;4,5;0
M-WIWI-101423;T-WIWI-102646;Internationale Finanzierung;1;1;3,0;0
M-WIWI-101423;T-WIWI-110511;Strategic Finance and Technoloy Change;1;1;1,5;0
M-WIWI-105482;T-WIWI-111028;Introduction to Machine Learning;1;1;4,5;0
M-WIWI-105482;T-WIWI-111029;Introduction to Neural Networks and Genetic Algorithms;1;1;4,5;0
M-WIWI-101398;T-WIWI-102708;Volkswirtschaftslehre I: Mikroökonomie;1;1;5,0;0
M-WIWI-101398;T-WIWI-102709;Volkswirtschaftslehre II: Makroökonomie;1;1;5,0;0
M-WIWI-101499;T-WIWI-102876;Auction & Mechanism Design;1;1;4,5;0
M-WIWI-101499;T-WIWI-102892;Economics and Behavior;1;1;4,5;0
M-WIWI-101499;T-WIWI-102850;Einführung in die Spieltheorie;2;1;4,5;0
M-WIWI-101499;T-WIWI-102792;Entscheidungstheorie;1;1;4,5;0
M-WIWI-101499;T-WIWI-102844;Industrieökonomie;1;1;4,5;0
M-WIWI-101499;T-WIWI-102739;Öffentliche Einnahmen;1;1;4,5;0
M-WIWI-101499;T-WIWI-102736;Volkswirtschaftslehre III: Einführung in die Ökonometrie;1;1;5,0;0
M-WIWI-101499;T-WIWI-100005;Wettbewerb in Netzen;3;1;4,5;0
M-WIWI-101403;T-WIWI-102877;Einführung in die Finanzwissenschaft;1;1;4,5;0
M-WIWI-101403;T-WIWI-108711;Grundlagen der Unternehmensbesteuerung;2;1;4,5;0
M-WIWI-101403;T-WIWI-102739;Öffentliche Einnahmen;1;1;4,5;0
M-WIWI-101403;T-WIWI-109590;Öffentliches Finanzwesen;2;1;4,5;0
M-WIWI-101599;T-WIWI-102736;Volkswirtschaftslehre III: Einführung in die Ökonometrie;1;1;5,0;0
M-WIWI-101599;T-WIWI-103063;Analyse multivariater Daten;1;1;4,5;0
M-WIWI-101599;T-WIWI-103066;Data Mining and Applications;2;1;4,5;0
M-WIWI-101599;T-WIWI-103064;Financial Econometrics;2;1;4,5;0
M-WIWI-101599;T-WIWI-110939;Financial Econometrics II;2;1;4,5;0
M-WIWI-101599;T-WIWI-103065;Statistische Modellierung von allgemeinen Regressionsmodellen;1;1;4,5;0
M-WIWI-105414;T-WIWI-103063;Analyse multivariater Daten;1;1;4,5;0
M-WIWI-105414;T-WIWI-103066;Data Mining and Applications;2;1;4,5;0
M-WIWI-105414;T-WIWI-103064;Financial Econometrics;2;1;4,5;0
M-WIWI-105414;T-WIWI-110939;Financial Econometrics II;2;1;4,5;0
M-WIWI-105414;T-WIWI-103065;Statistische Modellierung von allgemeinen Regressionsmodellen;1;1;4,5;0
M-WIWI-101668;T-WIWI-103213;Einführung in die Wirtschaftspolitik;1;1;4,5;0
M-WIWI-101668;T-WIWI-109121;Macroeconomic Theory;2;1;4,5;0
M-WIWI-101668;T-WIWI-102739;Öffentliche Einnahmen;1;1;4,5;0
M-WIWI-101668;T-WIWI-102908;Personalpolitik und Arbeitsmarktinstitutionen;1;1;4,5;0
M-WIWI-101668;T-WIWI-100005;Wettbewerb in Netzen;3;1;4,5;0
M-WIWI-101501;T-WIWI-102609;Advanced Topics in Economic Theory;1;1;4,5;0
M-WIWI-101501;T-WIWI-102876;Auction & Mechanism Design;1;1;4,5;0
M-WIWI-101501;T-WIWI-102892;Economics and Behavior;1;1;4,5;0
M-WIWI-101501;T-WIWI-102850;Einführung in die Spieltheorie;2;1;4,5;0
M-WIWI-101501;T-WIWI-102844;Industrieökonomie;1;1;4,5;0
M-WIWI-101501;T-WIWI-109121;Macroeconomic Theory;2;1;4,5;0
