sep=;
Modul;Kennung;Titel;Ver;Gew;LP;Sem
M-WIWI-101650;T-WIWI-103142;Masterarbeit;1;1;30,0;0
M-WIWI-101410;T-WIWI-102639;Geschäftsmodelle im Internet: Planung und Umsetzung;2;1;4,5;0
M-WIWI-101410;T-WIWI-102848;Personalization and Services;1;1;4,5;0
M-WIWI-101410;T-WIWI-110887;Practical Seminar: Service Innovation;1;1;4,5;0
M-WIWI-101410;T-WIWI-102847;Recommendersysteme;1;1;4,5;0
M-WIWI-101410;T-WIWI-102641;Service Innovation;1;1;4,5;0
M-WIWI-101410;T-WIWI-109940;Spezialveranstaltung Wirtschaftsinformatik;2;1;4,5;0
M-WIWI-101498;T-WIWI-102800;Management Accounting 1;2;1;4,5;0
M-WIWI-101498;T-WIWI-102801;Management Accounting 2;2;1;4,5;0
M-WIWI-101510;T-WIWI-102885;Advanced Management Accounting;2;1;4,5;0
M-WIWI-101510;T-WIWI-110179;Advanced Management Accounting 2;1;1;4,5;0
M-WIWI-101510;T-WIWI-105777;Business Intelligence Systems;2;1;4,5;0
M-WIWI-101510;T-WIWI-105781;Incentives in Organizations;1;1;4,5;0
M-WIWI-101510;T-WIWI-102835;Marketing Strategy Planspiel;1;1;1,5;0
M-WIWI-101510;T-WIWI-107720;Market Research;1;1;4,5;0
M-WIWI-101510;T-WIWI-102883;Pricing;1;1;4,5;0
M-WIWI-101510;T-WIWI-109864;Product and Innovation Management;1;1;3,0;0
M-WIWI-101510;T-WIWI-102621;Valuation;1;1;4,5;0
M-WIWI-101510;T-WIWI-108651;Außerplanmäßige Ergänzungsveranstaltung im Modul Cross-Functional Management Accounting;1;1;4,5;0
M-WIWI-101470;T-WIWI-109921;Advanced Machine Learning;1;1;4,5;0
M-WIWI-101470;T-WIWI-102762;Business Dynamics;1;1;4,5;0
M-WIWI-101470;T-WIWI-110915;Intelligent Agents and Decision Theory;1;1;4,5;0
M-WIWI-101470;T-WIWI-103549;Intelligente CRM Architekturen;3;1;4,5;0
M-WIWI-101470;T-WIWI-102848;Personalization and Services;1;1;4,5;0
M-WIWI-101470;T-WIWI-102847;Recommendersysteme;1;1;4,5;0
M-WIWI-101470;T-WIWI-105778;Service Analytics A;2;1;4,5;0
M-WIWI-103117;T-WIWI-108715;Artificial Intelligence in Service Systems;1;1;4,5;0
M-WIWI-103117;T-WIWI-109863;Business Data Analytics: Application and Tools;2;1;4,5;0
M-WIWI-103117;T-WIWI-106187;Business Data Strategy;1;1;4,5;0
M-WIWI-103117;T-WIWI-105777;Business Intelligence Systems;2;1;4,5;0
M-WIWI-103117;T-WIWI-110918;Introduction to Bayesian Statistics for Analyzing Data;1;1;3,0;0
M-WIWI-103117;T-WIWI-106207;Seminarpraktikum: Data-Driven Information Systems;1;1;4,5;0
M-WIWI-103118;T-WIWI-109863;Business Data Analytics: Application and Tools;2;1;4,5;0
M-WIWI-103118;T-WIWI-102614;Experimentelle Wirtschaftsforschung;1;1;4,5;0
M-WIWI-103118;T-WIWI-111109;KD²Lab Forschungspraktikum: New Ways and Tools in Experimental Economics;1;1;4,5;0
M-WIWI-103118;T-WIWI-102899;Modeling and Analyzing Consumer Behavior with R;1;1;4,5;0
M-WIWI-103118;T-WIWI-108765;Seminarpraktikum: Advanced Analytics;1;1;4,5;0
M-WIWI-101647;T-WIWI-103139;Marketing Analytics;5;1;4,5;0
M-WIWI-101647;T-WIWI-107720;Market Research;1;1;4,5;0
M-WIWI-105032;T-WIWI-102878;Computational Risk and Asset Management;4;0,75;4,5;0
M-WIWI-105032;T-WIWI-110213;Python for Computational Risk and Asset Management;2;0,25;4,5;0
M-WIWI-104080;T-WIWI-110851;Designing Interactive Systems;1;1;4,5;0
