Kennung;Titel;Ver;Gew;LP;Sem;Modulturnus;Moduldauer
M-WIWI-101650;Modul Masterarbeit;2;1;30,0;0;Jedes Semester;1 Semester
M-WIWI-101410;Business & Service Engineering;5;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101498;Controlling (Management Accounting);2;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101510;Cross-Functional Management Accounting;8;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101470;Data Science: Advanced CRM;5;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-103117;Data Science: Data-Driven Information Systems;7;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-103118;Data Science: Data-Driven User Modeling;5;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101647;Data Science: Evidence-based Marketing;5;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-105032;Data Science for Finance;1;1;9,0;0;Jedes Wintersemester;1 Semester
M-WIWI-104080;Designing Interactive Information Systems;3;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-103720;eEnergy: Markets, Services and Systems;1;1;9,0;0 - 1;Jedes Semester;1 Semester
M-WIWI-101409;Electronic Markets;6;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101451;Energiewirtschaft und Energiemärkte;7;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101452;Energiewirtschaft und Technologie;4;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101488;Entrepreneurship (EnTechnon);9;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101482;Finance 1;1;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101483;Finance 2;6;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101480;Finance 3;6;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-105036;FinTech Innovations;1;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101471;Industrielle Produktion II;2;1;9,0;0;Jedes Wintersemester;1 Semester
M-WIWI-101412;Industrielle Produktion III;2;1;9,0;0;Jedes Sommersemester;1 Semester
M-WIWI-101411;Information Engineering;7;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-104068;Information Systems in Organizations;4;1;9,0;0 - 1;Jedes Semester;2 Semester
M-WIWI-101507;Innovationsmanagement;7;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-105312;Marketing and Sales Management;3;1;9,0;0 - 1;Jedes Sommersemester;1 Semester
M-WIWI-101446;Market Engineering;7;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101506;Service Analytics;6;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101503;Service Design Thinking;1;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-102754;Service Economics and Management;4;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-102806;Service Innovation, Design & Engineering;3;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101448;Service Management;6;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-103119;Strategie und Management: Fortgeschrittene Themen;1;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-105010;Student Innovation Lab (SIL) 1;1;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
M-WIWI-101497;Agglomeration und Innovation;2;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101453;Angewandte strategische Entscheidungen;4;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101504;Collective Decision Making;4;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101505;Experimentelle Wirtschaftsforschung;5;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101514;Innovationsökonomik;2;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101478;Innovation und Wachstum;3;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101500;Microeconomic Theory;3;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101406;Netzwerkökonomie;2;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101638;Ökonometrie und Statistik I;4;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101502;Ökonomische Theorie und ihre Anwendung in Finance;4;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101468;Umwelt- und Ressourcenökonomie;2;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101511;Vertiefung Finanzwissenschaft;5;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101485;Verkehrsinfrastrukturpolitik und regionale Entwicklung;2;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-101496;Wachstum und Agglomeration;3;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101472;Informatik;13;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-101473;Mathematische Optimierung;6;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-102832;Operations Research im Supply Chain Management;7;1;9,0;0;Jedes Semester;2 Semester
M-WIWI-102805;Service Operations;6;1;9,0;0;Jedes Semester;1 Semester
M-WIWI-103289;Stochastische Optimierung;9;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101298;Automatisierte Produktionsanlagen;1;1;9,0;0;Jedes Sommersemester;1 Semester
M-WIWI-101404;Außerplanmäßiges Ingenieurmodul;5;1;9,0;0;Einmalig;1 Semester
M-MACH-101274;Bahnsystemtechnik;4;1;9,0;0;Jedes Semester;1 Semester
M-MACH-101290;BioMEMS;2;1;9,0;0;Jedes Semester;1 Semester
M-BGU-105592;Digitalisierung im Gebäudemanagement;1;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
M-MACH-101296;Energie- und Prozesstechnik I;1;1;9,0;0;Jedes Wintersemester;1 Semester
M-MACH-101297;Energie- und Prozesstechnik II;1;1;9,0;0;Jedes Sommersemester;1 Semester
M-BGU-100998;Entwurf, Bau, Betrieb und Erhaltung von Straßen;2;1;9,0;0;Jedes Sommersemester;1 Semester
M-ETIT-101164;Erzeugung und Übertragung regenerativer Energie;3;1;9,0;0;Jedes Semester;2 Semester
M-BGU-105597;Facility Management im Krankenhaus;1;1;9,0;0 - 1;Jedes Wintersemester;2 Semester
